Sample_Number,Sample_site,Depth (m),Harvested_non_harvested,Frond_length (cm),Stipe_length (cm),Stipe_circumference (cm),Total_length (cm),Stipe_mass (g),frond_mass (g),Holdfast_width (cm),holdfast_height (cm),holdfast_volume (cm3)
S1H1N,1,5.2,non-harvested,193,333,23,526,1.5,2.25,27,5,59
S1H2N,1,5.2,non-harvested,173,344,31,517,2.9,2.35,18,9,45
S1H3N,1,5.2,non-harvested,98,357,15,455,1.6,0.8,18,12,48
S1H4N,1,5.2,non-harvested,153,318,22.5,471,2.25,2.6,21,,
S1H5N,1,5.2,non-harvested,165,352,21,517,2.3,2.45,22,8,52
S1H1F,1,4.3,harvested,0,432,12,432,3.05,0,19,11,49
S1H2F,1,4.3,harvested,234,547,21,781,5.6,4,24,7,55
S1H3F,1,4.3,harvested,94,547,16,641,3.1,0.5,20,,
S1H4F,1,4.3,harvested,153,374,14,527,2.45,1.95,18,8,44
S1H5F,1,4.3,harvested,117,491,16,608,3.65,0.9,16.5,7.5,40.5
S2H1N,2,5.4,non-harvested,81,216,13,297,1.15,0.6,19,8,46
S2H2N,2,5.4,non-harvested,115,243,11,358,1.3,0.9,16,6,38
S2H3N,2,5.4,non-harvested,144.5,363,24,507.5,2.15,2.5,25,11,61
S2H4N,2,5.4,non-harvested,177,298,23,475,2,1.95,22,10,54
S2H5N,2,5.4,non-harvested,122,364,18,486,2.05,2.1,17,8,42
S2H1F,2,5.8,harvested,0,418,24,418,4.85,0,19,12,50
S2H2F,2,5.8,harvested,215,404,19,619,3.4,3.85,25,9,59
S2H3F,2,5.8,harvested,139,416,17,555,2.9,1,29,17,75
S2H4F,2,5.8,harvested,237,487,19,724,3.95,3.1,,,
S2H5F,2,5.8,harvested,187,407,16,594,2.8,1.8,18,9,45
S3H1N,3,3.8,non-harvested,178,349,32,527,3.25,6.1,21,8,50
S3H2N,3,3.8,non-harvested,154,420,23,574,3.25,7.4,22,4,48
S3H3N,3,3.8,non-harvested,181,409,30,590,3.9,4.9,,,
S3H4N,3,3.8,non-harvested,185,188,23,373,1.9,4.1,24,11,59
S3H5N,3,3.8,non-harvested,184.5,378,19,562.5,2.25,4.3,21.5,7,50
S3H1F,3,5.5,harvested,252,337,29,589,2.85,5.65,16.5,7,40
S3H2F,3,5.5,harvested,152,418,32.5,570,3.45,3.45,,,
S3H3F,3,5.5,harvested,181,368,21,549,2.8,3.35,13,7,33
S3H4F,3,5.5,harvested,193,410,28,603,3.35,7.35,22,13,57
S3H5F,3,5.5,harvested,164.5,349,24,513.5,2.5,5.4,,,
